승용,시도,시군구,지역코드
2677,서울특별시,영등포구,149
1758,서울특별시,용산구,150
2068,서울특별시,은평구,151
1232,서울특별시,종로구,152
1780,서울특별시,중구,153
1955,서울특별시,중랑구,154
5071,세종특별자치시,세종특별자치시,
2003,울산광역시,남구,156
612,울산광역시,동구,157
1530,울산광역시,북구,158
1979,울산광역시,울주군,160
1229,울산광역시,중구,161
2067,인천광역시,강화군,162
13721,인천광역시,계양구,163
7367,인천광역시,남동구,164
374,인천광역시,동구,165
3793,인천광역시,미추홀구,166
4366,인천광역시,부평구,167
7222,인천광역시,서구,168
8463,인천광역시,연수구,169
143,인천광역시,옹진군,170
2476,인천광역시,중구,172
284,전라남도,강진군,173
427,전라남도,고흥군,174
288,전라남도,곡성군,175
2201,전라남도,광양시,176
249,전라남도,구례군,177
1827,전라남도,나주시,178
634,전라남도,담양군,179
1275,전라남도,목포시,180
1028,전라남도,무안군,181
354,전라남도,보성군,182
3216,전라남도,순천시,183
7357,전라남도,신안군,184
2493,전라남도,여수시,185
959,전라남도,영광군,186
523,전라남도,영암군,187
260,전라남도,완도군,188
445,전라남도,장성군,189
339,전라남도,장흥군,190
242,전라남도,진도군,191
559,전라남도,함평군,192
594,전라남도,해남군,193
452,전라남도,화순군,194
475,전북특별자치도,고창군,195
2723,전북특별자치도,군산시,196
797,전북특별자치도,김제시,197
775,전북특별자치도,남원시,198
248,전북특별자치도,무주군,199
373,전북특별자치도,부안군,200
226,전북특별자치도,순창군,201
994,전북특별자치도,완주군,202
2543,전북특별자치도,익산시,203
235,전북특별자치도,임실군,204
214,전북특별자치도,장수군,205
3471,전북특별자치도,전주시,206
2821,전북특별자치도,전주시,206
1066,전북특별자치도,정읍시,207
274,전북특별자치도,진안군,208
7400,제주특별자치도,서귀포시,209
33276,제주특별자치도,제주시,210
689,충청남도,계룡시,213
1150,충청남도,공주시,214
530,충청남도,금산군,215
944,충청남도,논산시,216
2470,충청남도,당진시,217
744,충청남도,보령시,218
582,충청남도,부여군,219
2131,충청남도,서산시,220
399,충청남도,서천군,221
4171,충청남도,아산시,222
928,충청남도,예산군,223
2356,충청남도,천안시,224
3927,충청남도,천안시,224
289,충청남도,청양군,225
496,충청남도,태안군,226
972,충청남도,홍성군,227
421,충청북도,괴산군,228
340,충청북도,단양군,229
342,충청북도,보은군,230
433,충청북도,영동군,231
493,충청북도,옥천군,232
902,충청북도,음성군,233
1537,충청북도,제천시,234
303,충청북도,증평군,235
1091,충청북도,진천군,236
2294,충청북도,청주시,237
2121,충청북도,청주시,237
2255,충청북도,청주시,237
3972,충청북도,청주시,237
2694,충청북도,충주시,238
