계,승용,승합,시군구별,연료별,용도별,특수,화물
440,359,1,서울 중구,전기,사업용,0,80
1539,1421,8,서울 중구,전기,비사업용,2,108
132,66,0,서울 용산구,전기,사업용,0,66
1887,1692,9,서울 용산구,전기,비사업용,2,184
202,23,36,서울 종로구,전기,사업용,0,143
1375,1209,0,서울 종로구,전기,비사업용,6,160
296,188,18,서울 광진구,전기,사업용,0,90
1455,1297,5,서울 광진구,전기,비사업용,3,150
844,552,139,서울 도봉구,전기,사업용,0,153
1147,908,2,서울 도봉구,전기,비사업용,7,230
530,266,144,서울 강북구,전기,사업용,0,120
938,742,31,서울 강북구,전기,비사업용,1,164
393,186,38,서울 금천구,전기,사업용,0,169
1303,1067,2,서울 금천구,전기,비사업용,3,231
238,133,13,서울 동작구,전기,사업용,0,92
1858,1699,1,서울 동작구,전기,비사업용,2,156
1001,680,109,서울 중랑구,전기,사업용,0,212
1523,1275,3,서울 중랑구,전기,비사업용,3,242
746,331,156,서울 양천구,전기,사업용,0,259
2177,1911,4,서울 양천구,전기,비사업용,1,261
953,688,91,서울 노원구,전기,사업용,0,174
1889,1622,5,서울 노원구,전기,비사업용,4,258
870,450,190,서울 은평구,전기,사업용,0,230
1882,1618,5,서울 은평구,전기,비사업용,4,255
542,247,158,서울 성북구,전기,사업용,0,137
2032,1828,5,서울 성북구,전기,비사업용,2,197
3728,3439,115,서울 구로구,전기,사업용,0,174
1962,1667,3,서울 구로구,전기,비사업용,2,290
476,228,127,서울 마포구,전기,사업용,0,121
2512,2090,7,서울 마포구,전기,비사업용,4,411
697,358,105,서울 관악구,전기,사업용,0,234
1556,1360,3,서울 관악구,전기,비사업용,1,192
937,661,73,서울 강동구,전기,사업용,1,202
3210,2901,8,서울 강동구,전기,비사업용,2,299
914,570,97,서울 송파구,전기,사업용,0,247
4728,4328,11,서울 송파구,전기,비사업용,7,382
836,559,185,서울 성동구,전기,사업용,0,92
2426,2149,5,서울 성동구,전기,비사업용,2,270
704,417,57,서울 서초구,전기,사업용,0,230
