계,승용,승합,시군구별,연료별,용도별,특수,화물
6508,6139,5,서울 서초구,전기,비사업용,6,358
1138,706,97,서울 강서구,전기,사업용,0,335
3252,2854,9,서울 강서구,전기,비사업용,2,387
6484,6325,9,서울 강남구,전기,사업용,0,150
7633,7205,15,서울 강남구,전기,비사업용,4,409
491,297,109,서울 서대문구,전기,사업용,0,85
1571,1416,13,서울 서대문구,전기,비사업용,2,140
380,230,0,서울 동대문구,전기,사업용,0,150
1667,1417,4,서울 동대문구,전기,비사업용,1,245
584,330,16,서울 영등포구,전기,사업용,0,238
2718,2347,4,서울 영등포구,전기,비사업용,4,363
28,13,0,부산 중구,전기,사업용,0,15
2744,2699,0,부산 중구,전기,비사업용,0,45
92,51,0,부산 서구,전기,사업용,0,41
500,388,1,부산 서구,전기,비사업용,0,111
787,744,0,부산 동구,전기,사업용,0,43
2817,2708,2,부산 동구,전기,비사업용,0,107
451,296,41,부산 북구,전기,사업용,0,114
1560,1113,2,부산 북구,전기,비사업용,1,444
550,290,113,부산 남구,전기,사업용,0,147
1732,1423,0,부산 남구,전기,비사업용,2,307
478,358,13,부산 사상구,전기,사업용,0,107
1396,765,1,부산 사상구,전기,비사업용,1,629
852,639,137,부산 금정구,전기,사업용,0,76
1380,1028,12,부산 금정구,전기,비사업용,0,340
688,560,25,부산 동래구,전기,사업용,0,103
1876,1498,1,부산 동래구,전기,비사업용,1,376
448,152,136,부산 기장군,전기,사업용,0,160
2231,1752,0,부산 기장군,전기,비사업용,2,477
847,682,25,부산 강서구,전기,사업용,0,140
2658,1638,2,부산 강서구,전기,비사업용,1,1017
557,405,14,부산 사하구,전기,사업용,0,138
1484,977,11,부산 사하구,전기,비사업용,1,495
446,298,108,부산 영도구,전기,사업용,0,40
411,290,0,부산 영도구,전기,비사업용,0,121
1016,912,30,부산 연제구,전기,사업용,0,74
5230,4886,1,부산 연제구,전기,비사업용,0,343
2587,2433,73,부산 수영구,전기,사업용,0,81
1284,1068,1,부산 수영구,전기,비사업용,3,212
648,473,26,부산 해운대구,전기,사업용,0,149
4284,3861,1,부산 해운대구,전기,비사업용,1,421
1144,961,22,부산 부산진구,전기,사업용,0,161
3262,2724,0,부산 부산진구,전기,비사업용,1,537
210,131,0,대구 남구,전기,사업용,0,79
998,822,3,대구 남구,전기,비사업용,1,172
550,444,0,대구 서구,전기,사업용,0,106
1253,898,2,대구 서구,전기,비사업용,0,353
851,537,25,대구 북구,전기,사업용,0,289
4580,3381,5,대구 북구,전기,비사업용,2,1192
1360,1133,26,대구 동구,전기,사업용,0,201
3783,3052,2,대구 동구,전기,비사업용,2,727
336,310,0,대구 중구,전기,사업용,0,26
1977,1771,0,대구 중구,전기,비사업용,4,202
33,25,0,대구 군위군,전기,사업용,0,8
381,232,0,대구 군위군,전기,비사업용,0,149
595,334,21,대구 달성군,전기,사업용,0,240
3763,2870,12,대구 달성군,전기,비사업용,3,878
712,550,7,대구 수성구,전기,사업용,0,155
7056,6486,2,대구 수성구,전기,비사업용,2,566
1353,1029,18,대구 달서구,전기,사업용,0,306
5985,4771,21,대구 달서구,전기,비사업용,3,1190
163,97,0,인천 동구,전기,사업용,0,66
370,277,0,인천 동구,전기,비사업용,2,91
330,88,73,인천 중구,전기,사업용,0,169
2691,2388,7,인천 중구,전기,비사업용,2,294
1250,578,124,인천 서구,전기,사업용,0,548
7928,6644,11,인천 서구,전기,비사업용,4,1269
14,4,2,인천 옹진군,전기,사업용,0,8
202,139,0,인천 옹진군,전기,비사업용,0,63
1455,1364,24,인천 강화군,전기,사업용,0,67
1278,703,1,인천 강화군,전기,비사업용,2,572
1571,1204,34,인천 남동구,전기,사업용,0,333
7056,6163,2,인천 남동구,전기,비사업용,6,885
788,472,105,인천 연수구,전기,사업용,0,211
8484,7991,7,인천 연수구,전기,비사업용,3,483
1610,1221,42,인천 부평구,전기,사업용,0,347
3645,3145,0,인천 부평구,전기,비사업용,3,497
12623,12379,0,인천 계양구,전기,사업용,0,244
2352,1342,1,인천 계양구,전기,비사업용,6,1003
2091,1739,0,인천 미추홀구,전기,사업용,0,352
2565,2054,0,인천 미추홀구,전기,비사업용,3,508
114,69,7,광주 동구,전기,사업용,0,38
1060,959,0,광주 동구,전기,비사업용,2,99
185,95,14,광주 남구,전기,사업용,0,76
1961,1703,1,광주 남구,전기,비사업용,0,257
483,210,1,광주 서구,전기,사업용,0,272
2838,2307,1,광주 서구,전기,비사업용,2,528
1046,806,25,광주 북구,전기,사업용,0,215
3559,2915,3,광주 북구,전기,비사업용,0,641
626,361,16,광주 광산구,전기,사업용,0,249
3979,2943,3,광주 광산구,전기,비사업용,2,1031
546,377,6,대전 동구,전기,사업용,0,163
1980,1491,2,대전 동구,전기,비사업용,2,485
622,448,23,대전 중구,전기,사업용,0,151
1934,1462,2,대전 중구,전기,비사업용,0,470
3130,2861,0,대전 서구,전기,사업용,0,269
5106,4285,7,대전 서구,전기,비사업용,1,813
566,399,60,대전 대덕구,전기,사업용,0,107
1813,1191,0,대전 대덕구,전기,비사업용,2,620
470,244,47,대전 유성구,전기,사업용,0,179
5753,4991,9,대전 유성구,전기,비사업용,0,753
246,180,0,울산 중구,전기,사업용,0,66
1416,1049,2,울산 중구,전기,비사업용,2,363
354,234,17,울산 북구,전기,사업용,0,103
1800,1296,6,울산 북구,전기,비사업용,2,496
468,373,2,울산 남구,전기,사업용,0,93
2253,1630,1,울산 남구,전기,비사업용,0,622
189,140,5,울산 동구,전기,사업용,0,44
603,472,1,울산 동구,전기,비사업용,1,129
394,250,61,울산 울주군,전기,사업용,0,83
2523,1729,6,울산 울주군,전기,비사업용,3,785
492,213,139,세종 세종특별자치시,전기,사업용,0,140
5275,4858,10,세종 세종특별자치시,전기,비사업용,6,401
0,0,0,경기 부천시,전기,사업용,0,0
1,1,0,경기 부천시,전기,비사업용,0,0
39,14,2,경기 연천군,전기,사업용,0,23
613,376,0,경기 연천군,전기,비사업용,2,235
72,19,13,경기 가평군,전기,사업용,0,40
751,557,0,경기 가평군,전기,비사업용,1,193
122,72,30,경기 과천시,전기,사업용,0,20
1240,1108,5,경기 과천시,전기,비사업용,4,123
309,156,42,경기 구리시,전기,사업용,0,111
1326,1108,1,경기 구리시,전기,비사업용,3,214
240,107,48,경기 의왕시,전기,사업용,0,85
1524,1354,0,경기 의왕시,전기,비사업용,1,169
173,63,18,경기 양평군,전기,사업용,0,92
1895,1452,3,경기 양평군,전기,비사업용,2,438
231,100,42,경기 포천시,전기,사업용,0,89
1731,1021,0,경기 포천시,전기,비사업용,0,710
225,60,57,경기 안성시,전기,사업용,0,108
2198,1516,1,경기 안성시,전기,비사업용,5,676
199,25,20,경기 이천시,전기,사업용,0,154
2580,1926,2,경기 이천시,전기,비사업용,3,649
589,51,208,경기 광주시,전기,사업용,0,330
4091,3325,12,경기 광주시,전기,비사업용,3,751
524,147,32,경기 시흥시,전기,사업용,0,345
4417,3469,6,경기 시흥시,전기,비사업용,4,938
703,227,164,경기 평택시,전기,사업용,0,312
6395,5076,4,경기 평택시,전기,비사업용,6,1309
359,108,96,경기 군포시,전기,사업용,0,155
1546,1331,0,경기 군포시,전기,비사업용,1,214
117,38,8,경기 여주시,전기,사업용,0,71
1583,1034,5,경기 여주시,전기,비사업용,2,542
324,85,104,경기 오산시,전기,사업용,0,135
2137,1787,1,경기 오산시,전기,비사업용,4,345
430,85,92,경기 하남시,전기,사업용,0,253
3998,3435,11,경기 하남시,전기,비사업용,2,550
1545,640,288,경기 김포시,전기,사업용,0,617
6332,4805,31,경기 김포시,전기,비사업용,5,1491
760,68,248,경기 파주시,전기,사업용,0,444
5652,4298,7,경기 파주시,전기,비사업용,10,1337
550,172,68,경기 양주시,전기,사업용,0,310
3267,2533,6,경기 양주시,전기,비사업용,0,728
480,171,175,경기 광명시,전기,사업용,0,134
1992,1668,1,경기 광명시,전기,비사업용,0,323
1198,442,292,경기 화성시,전기,사업용,0,464
12733,10846,16,경기 화성시,전기,비사업용,19,1852
130,37,19,경기 동두천시,전기,사업용,0,74
685,469,0,경기 동두천시,전기,비사업용,0,216
776,428,78,경기 의정부시,전기,사업용,0,270
3029,2511,2,경기 의정부시,전기,비사업용,9,507
1008,339,154,경기 남양주시,전기,사업용,0,515
7081,5721,8,경기 남양주시,전기,비사업용,24,1328
824,650,52,경기 부천시 소사구,전기,사업용,0,122
1215,970,0,경기 부천시 소사구,전기,비사업용,2,243
423,228,68,경기 성남시 중원구,전기,사업용,0,127
1439,1238,0,경기 성남시 중원구,전기,비사업용,1,200
305,131,57,경기 성남시 수정구,전기,사업용,0,117
1868,1672,0,경기 성남시 수정구,전기,비사업용,2,194
654,450,1,경기 안산시 상록구,전기,사업용,0,203
1675,1243,1,경기 안산시 상록구,전기,비사업용,2,429
346,260,0,경기 수원시 팔달구,전기,사업용,0,86
1447,1328,1,경기 수원시 팔달구,전기,비사업용,2,116
705,310,205,경기 부천시 원미구,전기,사업용,0,190
2231,1771,2,경기 부천시 원미구,전기,비사업용,7,451
201,111,12,경기 수원시 영통구,전기,사업용,0,78
4032,3841,1,경기 수원시 영통구,전기,비사업용,3,187
560,154,218,경기 용인시 처인구,전기,사업용,0,188
3642,2881,43,경기 용인시 처인구,전기,비사업용,7,711
970,792,10,경기 용인시 기흥구,전기,사업용,0,168
5959,5236,9,경기 용인시 기흥구,전기,비사업용,2,712
798,413,209,경기 수원시 권선구,전기,사업용,0,176
3873,3117,5,경기 수원시 권선구,전기,비사업용,8,743
525,104,330,경기 수원시 장안구,전기,사업용,0,91
1772,1627,1,경기 수원시 장안구,전기,비사업용,2,142
450,321,32,경기 안양시 동안구,전기,사업용,1,96
2835,2558,6,경기 안양시 동안구,전기,비사업용,4,267
606,346,80,경기 안산시 단원구,전기,사업용,0,180
2620,1946,8,경기 안산시 단원구,전기,비사업용,0,666
690,293,270,경기 안양시 만안구,전기,사업용,0,127
1380,1172,0,경기 안양시 만안구,전기,비사업용,2,206
656,221,163,경기 고양시 덕양구,전기,사업용,0,272
4133,3432,3,경기 고양시 덕양구,전기,비사업용,4,694
507,149,244,경기 부천시 오정구,전기,사업용,0,114
808,548,2,경기 부천시 오정구,전기,비사업용,1,257
1873,1450,356,경기 성남시 분당구,전기,사업용,0,67
6364,6132,0,경기 성남시 분당구,전기,비사업용,1,231
164,97,0,경기 용인시 수지구,전기,사업용,0,67
4276,4128,2,경기 용인시 수지구,전기,비사업용,3,143
775,429,149,경기 고양시 일산서구,전기,사업용,0,197
2323,1921,1,경기 고양시 일산서구,전기,비사업용,1,400
1226,920,141,경기 고양시 일산동구,전기,사업용,0,165
3209,2598,2,경기 고양시 일산동구,전기,비사업용,3,606
34,10,0,충북 단양군,전기,사업용,0,24
486,330,1,충북 단양군,전기,비사업용,0,155
32,14,1,충북 보은군,전기,사업용,0,17
629,328,6,충북 보은군,전기,비사업용,0,295
26,8,0,충북 증평군,전기,사업용,0,18
381,295,0,충북 증평군,전기,비사업용,1,85
27,8,0,충북 괴산군,전기,사업용,0,19
636,413,2,충북 괴산군,전기,비사업용,0,221
61,17,0,충북 옥천군,전기,사업용,0,44
800,476,0,충북 옥천군,전기,비사업용,0,324
57,11,1,충북 음성군,전기,사업용,0,45
1316,891,2,충북 음성군,전기,비사업용,3,420
54,35,1,충북 영동군,전기,사업용,0,18
883,398,1,충북 영동군,전기,비사업용,1,483
81,23,2,충북 진천군,전기,사업용,0,56
1497,1068,1,충북 진천군,전기,비사업용,1,427
460,301,17,충북 충주시,전기,사업용,0,142
3342,2393,6,충북 충주시,전기,비사업용,2,941
238,133,3,충북 제천시,전기,사업용,0,102
2084,1404,5,충북 제천시,전기,비사업용,3,672
387,230,62,충북 청주시 서원구,전기,사업용,0,95
2351,1891,2,충북 청주시 서원구,전기,비사업용,1,457
405,216,58,충북 청주시 상당구,전기,사업용,0,131
2584,2078,1,충북 청주시 상당구,전기,비사업용,2,503
324,192,19,충북 청주시 청원구,전기,사업용,0,113
2744,2063,3,충북 청주시 청원구,전기,비사업용,2,676
759,521,49,충북 청주시 흥덕구,전기,사업용,0,189
4225,3451,6,충북 청주시 흥덕구,전기,비사업용,2,766
22,5,0,충남 청양군,전기,사업용,0,17
443,284,0,충남 청양군,전기,비사업용,1,158
61,33,0,충남 금산군,전기,사업용,0,28
792,497,0,충남 금산군,전기,비사업용,1,294
26,3,0,충남 태안군,전기,사업용,0,23
910,493,1,충남 태안군,전기,비사업용,2,414
29,12,1,충남 서천군,전기,사업용,0,16
812,387,0,충남 서천군,전기,비사업용,0,425
62,5,15,충남 계룡시,전기,사업용,0,42
831,684,0,충남 계룡시,전기,비사업용,0,147
76,31,15,충남 보령시,전기,사업용,0,30
1367,713,7,충남 보령시,전기,비사업용,3,644
58,15,4,충남 부여군,전기,사업용,0,39
1083,567,4,충남 부여군,전기,비사업용,1,511
53,14,1,충남 예산군,전기,사업용,0,38
1547,914,0,충남 예산군,전기,비사업용,0,633
70,26,10,충남 홍성군,전기,사업용,4,30
1424,946,2,충남 홍성군,전기,비사업용,5,471
73,18,16,충남 논산시,전기,사업용,0,39
1688,926,0,충남 논산시,전기,비사업용,0,762
150,60,28,충남 당진시,전기,사업용,0,62
3225,2410,3,충남 당진시,전기,비사업용,0,812
507,226,55,충남 아산시,전기,사업용,0,226
4989,3945,6,충남 아산시,전기,비사업용,6,1032
105,65,14,충남 공주시,전기,사업용,0,26
1553,1085,1,충남 공주시,전기,비사업용,2,465
257,155,20,충남 서산시,전기,사업용,0,82
2675,1976,3,충남 서산시,전기,비사업용,3,693
380,254,1,충남 천안시 동남구,전기,사업용,5,120
2836,2102,0,충남 천안시 동남구,전기,비사업용,2,732
483,226,128,충남 천안시 서북구,전기,사업용,0,129
4527,3701,1,충남 천안시 서북구,전기,비사업용,3,822
15,1,4,전남 곡성군,전기,사업용,0,10
487,287,7,전남 곡성군,전기,비사업용,0,193
12,6,0,전남 강진군,전기,사업용,0,6
445,278,4,전남 강진군,전기,비사업용,1,162
14,12,0,전남 구례군,전기,사업용,0,2
319,237,5,전남 구례군,전기,비사업용,0,77
23,7,1,전남 완도군,전기,사업용,0,15
460,253,5,전남 완도군,전기,비사업용,1,201
18,4,2,전남 장성군,전기,사업용,0,12
735,441,1,전남 장성군,전기,비사업용,1,292
13,3,5,전남 고흥군,전기,사업용,0,5
685,424,1,전남 고흥군,전기,비사업용,2,258
39,11,19,전남 화순군,전기,사업용,0,9
660,441,2,전남 화순군,전기,비사업용,0,217
16,8,0,전남 진도군,전기,사업용,0,8
391,234,3,전남 진도군,전기,비사업용,1,153
176,155,4,전남 해남군,전기,사업용,0,17
805,439,10,전남 해남군,전기,비사업용,0,356
17,6,2,전남 영암군,전기,사업용,0,9
869,517,5,전남 영암군,전기,비사업용,1,346
35,25,0,전남 장흥군,전기,사업용,0,10
451,314,4,전남 장흥군,전기,비사업용,1,132
53,32,0,전남 무안군,전기,사업용,0,21
1269,996,3,전남 무안군,전기,비사업용,0,270
100,34,24,전남 나주시,전기,사업용,0,42
2344,1793,9,전남 나주시,전기,비사업용,0,542
192,109,43,전남 광양시,전기,사업용,0,40
2801,2092,5,전남 광양시,전기,비사업용,4,700
476,313,18,전남 여수시,전기,사업용,0,145
2978,2180,6,전남 여수시,전기,비사업용,1,791
275,178,12,전남 순천시,전기,사업용,0,85
3680,3038,6,전남 순천시,전기,비사업용,0,636
47,16,15,전남 영광군,전기,사업용,0,16
1237,943,3,전남 영광군,전기,비사업용,0,291
232,220,0,전남 함평군,전기,사업용,0,12
510,339,3,전남 함평군,전기,비사업용,1,167
23,16,5,전남 보성군,전기,사업용,0,2
499,338,7,전남 보성군,전기,비사업용,0,154
70,27,4,전남 담양군,전기,사업용,0,39
887,607,0,전남 담양군,전기,비사업용,0,280
314,249,11,전남 목포시,전기,사업용,10,44
1276,1026,0,전남 목포시,전기,비사업용,1,249
7108,7071,22,전남 신안군,전기,사업용,0,15
520,286,2,전남 신안군,전기,비사업용,0,232
30,4,6,경북 청송군,전기,사업용,0,20
387,198,0,경북 청송군,전기,비사업용,0,189
12,1,3,경북 영양군,전기,사업용,0,8
185,123,0,경북 영양군,전기,비사업용,0,62
23,4,0,경북 영덕군,전기,사업용,0,19
427,250,0,경북 영덕군,전기,비사업용,0,177
13,3,0,경북 봉화군,전기,사업용,0,10
340,187,0,경북 봉화군,전기,비사업용,0,153
27,8,4,경북 울진군,전기,사업용,0,15
578,404,4,경북 울진군,전기,비사업용,2,168
23,3,7,경북 성주군,전기,사업용,0,13
1322,556,3,경북 성주군,전기,비사업용,1,762
18,0,1,경북 고령군,전기,사업용,0,17
734,374,0,경북 고령군,전기,비사업용,3,357
20,3,0,경북 의성군,전기,사업용,0,17
648,369,0,경북 의성군,전기,비사업용,2,277
42,13,2,경북 예천군,전기,사업용,0,27
825,515,0,경북 예천군,전기,비사업용,1,309
51,19,6,경북 문경시,전기,사업용,0,26
799,461,1,경북 문경시,전기,비사업용,2,335
129,42,24,경북 영천시,전기,사업용,0,63
1508,876,0,경북 영천시,전기,비사업용,2,630
91,56,11,경북 상주시,전기,사업용,0,24
1410,701,0,경북 상주시,전기,비사업용,2,707
8,6,0,경북 울릉군,전기,사업용,0,2
629,515,0,경북 울릉군,전기,비사업용,1,113
108,59,2,경북 영주시,전기,사업용,0,47
1114,652,2,경북 영주시,전기,비사업용,2,458
133,53,0,경북 칠곡군,전기,사업용,0,80
1428,888,2,경북 칠곡군,전기,비사업용,2,536
184,113,0,경북 김천시,전기,사업용,0,71
2073,1247,4,경북 김천시,전기,비사업용,2,820
184,127,14,경북 안동시,전기,사업용,0,43
1891,1270,0,경북 안동시,전기,비사업용,2,619
353,261,20,경북 경주시,전기,사업용,0,72
3312,2331,11,경북 경주시,전기,비사업용,2,968
382,121,25,경북 경산시,전기,사업용,0,236
3198,2362,9,경북 경산시,전기,비사업용,3,824
555,319,0,경북 구미시,전기,사업용,0,236
4123,3016,3,경북 구미시,전기,비사업용,1,1103
34,13,7,경북 청도군,전기,사업용,0,14
687,453,4,경북 청도군,전기,비사업용,2,228
0,0,0,경상북도 성주군,전기,사업용,0,0
27,20,1,경상북도 성주군,전기,비사업용,0,6
365,276,0,경북 포항시 북구,전기,사업용,0,89
3331,2541,5,경북 포항시 북구,전기,비사업용,3,782
371,197,123,경북 포항시 남구,전기,사업용,0,51
2342,1681,1,경북 포항시 남구,전기,비사업용,1,659
9,1,2,경남 의령군,전기,사업용,0,6
367,211,1,경남 의령군,전기,비사업용,0,155
222,201,5,경남 함양군,전기,사업용,0,16
428,258,1,경남 함양군,전기,비사업용,0,169
25,6,1,경남 산청군,전기,사업용,0,18
694,402,0,경남 산청군,전기,비사업용,0,292
18,8,6,경남 하동군,전기,사업용,0,4
718,338,7,경남 하동군,전기,비사업용,0,373
35,26,5,경남 합천군,전기,사업용,0,4
831,488,1,경남 합천군,전기,비사업용,0,342
1075,1058,4,경남 함안군,전기,사업용,0,13
1500,1117,0,경남 함안군,전기,비사업용,0,383
41,15,2,경남 고성군,전기,사업용,0,24
679,353,4,경남 고성군,전기,비사업용,2,320
30,13,4,경남 남해군,전기,사업용,0,13
614,386,2,경남 남해군,전기,비사업용,0,226
56,7,4,경남 창녕군,전기,사업용,0,45
849,512,3,경남 창녕군,전기,비사업용,0,334
194,107,18,경남 밀양시,전기,사업용,0,69
1354,918,0,경남 밀양시,전기,비사업용,0,436
44,9,11,경남 거창군,전기,사업용,0,24
831,508,0,경남 거창군,전기,비사업용,0,323
245,152,14,경남 통영시,전기,사업용,0,79
966,627,4,경남 통영시,전기,비사업용,1,334
117,63,19,경남 사천시,전기,사업용,0,35
1123,808,1,경남 사천시,전기,비사업용,1,313
226,98,31,경남 거제시,전기,사업용,0,97
1989,1448,1,경남 거제시,전기,비사업용,1,539
620,201,114,경남 양산시,전기,사업용,0,305
4078,2920,11,경남 양산시,전기,비사업용,1,1146
574,261,87,경남 김해시,전기,사업용,0,226
4842,3567,2,경남 김해시,전기,비사업용,1,1272
1048,789,108,경남 진주시,전기,사업용,0,151
4631,3215,1,경남 진주시,전기,비사업용,3,1412
137,53,26,경남 창원시 진해구,전기,사업용,0,58
1404,1152,2,경남 창원시 진해구,전기,비사업용,3,247
1541,1341,152,경남 창원시 성산구,전기,사업용,0,48
3999,3599,3,경남 창원시 성산구,전기,비사업용,1,396
1492,1391,0,경남 창원시 의창구,전기,사업용,0,101
2979,2320,0,경남 창원시 의창구,전기,비사업용,1,658
300,242,3,경남 창원시 마산회원구,전기,사업용,0,55
2715,2329,0,경남 창원시 마산회원구,전기,비사업용,2,384
402,132,197,경남 창원시 마산합포구,전기,사업용,0,73
4235,3882,3,경남 창원시 마산합포구,전기,비사업용,4,346
11341,10588,202,제주 제주시,전기,사업용,23,528
28697,22688,32,제주 제주시,전기,비사업용,15,5962
687,446,58,제주 서귀포시,전기,사업용,0,183
10159,6954,10,제주 서귀포시,전기,비사업용,3,3192
32,18,0,강원 양구군,전기,사업용,0,14
304,165,1,강원 양구군,전기,비사업용,1,137
77,47,4,강원 태백시,전기,사업용,0,26
343,215,0,강원 태백시,전기,비사업용,4,124
19,6,5,강원 화천군,전기,사업용,0,8
286,157,1,강원 화천군,전기,비사업용,1,127
41,2,12,강원 정선군,전기,사업용,0,27
313,200,0,강원 정선군,전기,비사업용,4,109
36,15,0,강원 철원군,전기,사업용,0,21
505,213,13,강원 철원군,전기,비사업용,0,279
100,87,7,강원 횡성군,전기,사업용,0,6
598,364,1,강원 횡성군,전기,비사업용,1,232
43,30,1,강원 인제군,전기,사업용,0,12
375,268,3,강원 인제군,전기,비사업용,1,103
32,14,0,강원 고성군,전기,사업용,0,18
332,173,0,강원 고성군,전기,비사업용,1,158
50,39,0,강원 양양군,전기,사업용,0,11
309,206,0,강원 양양군,전기,비사업용,0,103
46,29,0,강원 영월군,전기,사업용,0,17
346,197,0,강원 영월군,전기,비사업용,1,148
60,24,6,강원 삼척시,전기,사업용,0,30
669,490,0,강원 삼척시,전기,비사업용,1,178
41,6,7,강원 홍천군,전기,사업용,0,28
740,467,5,강원 홍천군,전기,비사업용,1,267
129,87,0,강원 동해시,전기,사업용,0,42
743,527,2,강원 동해시,전기,비사업용,2,212
173,136,8,강원 속초시,전기,사업용,0,29
714,508,11,강원 속초시,전기,비사업용,0,195
661,503,61,강원 강릉시,전기,사업용,20,77
3010,1967,16,강원 강릉시,전기,비사업용,4,1023
966,617,91,강원 춘천시,전기,사업용,0,258
3835,2687,15,강원 춘천시,전기,비사업용,3,1130
848,705,5,강원 원주시,전기,사업용,0,138
4331,3301,8,강원 원주시,전기,비사업용,5,1017
48,20,3,강원 평창군,전기,사업용,1,24
516,351,0,강원 평창군,전기,비사업용,2,163
23,3,0,전북 장수군,전기,사업용,0,20
389,211,1,전북 장수군,전기,비사업용,1,176
18,9,0,전북 고창군,전기,사업용,0,9
754,466,5,전북 고창군,전기,비사업용,0,283
16,11,0,전북 순창군,전기,사업용,0,5
345,215,4,전북 순창군,전기,비사업용,1,125
11,6,0,전북 무주군,전기,사업용,0,5
369,242,4,전북 무주군,전기,비사업용,0,123
12,5,0,전북 임실군,전기,사업용,0,7
417,230,10,전북 임실군,전기,비사업용,0,177
11,5,0,전북 부안군,전기,사업용,0,6
657,368,2,전북 부안군,전기,비사업용,0,287
98,55,0,전북 김제시,전기,사업용,0,43
1377,742,5,전북 김제시,전기,비사업용,2,628
71,25,1,전북 남원시,전기,사업용,0,45
1397,750,6,전북 남원시,전기,비사업용,1,640
80,40,0,전북 완주군,전기,사업용,0,40
1273,954,5,전북 완주군,전기,비사업용,1,313
122,58,4,전북 정읍시,전기,사업용,0,60
1739,1008,4,전북 정읍시,전기,비사업용,1,726
466,286,28,전북 익산시,전기,사업용,0,152
3607,2257,7,전북 익산시,전기,비사업용,4,1339
662,368,74,전북 군산시,전기,사업용,0,220
3568,2355,8,전북 군산시,전기,비사업용,10,1195
12,7,0,전북 진안군,전기,사업용,0,5
411,267,2,전북 진안군,전기,비사업용,1,141
754,541,18,전북 전주시 덕진구,전기,사업용,0,195
3761,2930,4,전북 전주시 덕진구,전기,비사업용,3,824
597,365,25,전북 전주시 완산구,전기,사업용,0,207
3066,2456,2,전북 전주시 완산구,전기,비사업용,2,606
