시도,시군구,제조사,모델,보조금,지역코드
부산광역시,,케이지모빌리티,토레스 EVX 18인치,558.0,118
부산광역시,,케이지모빌리티,토레스 EVX 20인치,544.0,118
부산광역시,,폴스타오토모티브코리아,Polestar 4 Long Range Single Motor,252.0,118
부산광역시,,폴스타오토모티브코리아,Polestar 4 Long Range Dual Motor,196.0,118
부산광역시,,볼보자동차코리아,볼보 EX30 Single Motor ER,344.0,118
부산광역시,,비와이디코리아,BYD ATTO 3,202.0,118
부산광역시,,기아,레이 EV 2WD 14인치 4인승 승용,638.0,118
부산광역시,,기아,레이 EV 2WD 14인치 2인승 밴,638.0,118
부산광역시,,기아,레이 EV 2WD 14인치 1인승 밴,638.0,118
부산광역시,,현대자동차,캐스퍼 일렉트릭 항속형 17인치,698.0,118
부산광역시,,현대자동차,캐스퍼 일렉트릭 항속형 15인치,698.0,118
부산광역시,,현대자동차,캐스퍼 일렉트릭 기본형 15인치,698.0,118
부산광역시,,현대자동차,캐스퍼 일렉트릭 크로스 17인치,698.0,118
부산광역시,,쎄보모빌리티,(단종)CEVO-C SE,330.0,118
대구광역시,,현대자동차,GV60 스탠다드 2WD 19인치,410.0,100
대구광역시,,현대자동차,GV60 스탠다드 AWD 19인치,373.0,100
대구광역시,,현대자동차,GV60 스탠다드 AWD 20인치,359.0,100
대구광역시,,현대자동차,GV60 퍼포먼스 AWD 21인치,337.0,100
대구광역시,,현대자동차,Electrified GV70 AWD 20인치,349.0,100
대구광역시,,현대자동차,Electrified GV70 AWD 19인치,372.0,100
대구광역시,,현대자동차,아이오닉6 스탠다드 2WD 18인치,861.0,100
대구광역시,,현대자동차,아이오닉6 롱레인지 2WD 18인치,933.0,100
대구광역시,,현대자동차,아이오닉6 롱레인지 2WD 20인치,925.0,100
대구광역시,,현대자동차,아이오닉6 롱레인지 AWD 18인치,933.0,100
대구광역시,,현대자동차,아이오닉6 롱레인지 AWD 20인치,878.0,100
대구광역시,,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,765.0,100
대구광역시,,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,848.0,100
대구광역시,,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),770.0,100
대구광역시,,현대자동차,아이오닉5 N,332.0,100
